%	VERSION NUMBER:	1
%	FILE DATE:	Fri Jul 29 11:09:15 2022	
%	FILE NAME:	
%	
%	FILE TYPE:	TIME HISTORY
%	SAMPLE INTERVAL TYPE:	FIXED
%	SAMPLE INTERVAL UNIT TYPE:	Time
%	SAMPLE INTERVAL UNIT NAME:	sec
%	SAMPLE INTERVAL SIZE:	0.001
%       DISPLACEMENT UNIT:  mm


1.047	-2.58089036
1.048	-2.762923902
1.049	-2.943454644
1.050	-3.122376036
1.051	-3.299582398
1.052	-3.47496897
1.053	-3.648431971
1.054	-3.819868654
1.055	-3.989177366
1.056	-4.156257595
1.057	-4.321010031
1.058	-4.483336617
1.059	-4.643140603
1.060	-4.800326601
1.061	-4.954800632
1.062	-5.106470183
1.063	-5.255244256
1.064	-5.401033417
1.065	-5.543749849
1.066	-5.683307394
1.067	-5.819621611
1.068	-5.952609812
1.069	-6.082191119
1.070	-6.208286501
1.071	-6.330818823
1.072	-6.44971289
1.073	-6.564895486
1.074	-6.676295419
1.075	-6.783843563
1.076	-6.887472893
1.077	-6.987118526
1.078	-7.082717762
1.079	-7.174210113
1.080	-7.261537348
1.081	-7.344643517
1.082	-7.423474992
1.083	-7.497980495
1.084	-7.568111131
1.085	-7.633820415
1.086	-7.6950643
1.087	-7.751801209
1.088	-7.803992054
1.089	-7.851600264
1.090	-7.894591809
1.091	-7.932935217
1.092	-7.966601601
1.093	-7.995564673
1.094	-8.019800762
1.095	-8.039288833
1.096	-8.054010499
1.097	-8.063950036
1.098	-8.069094396
1.099	-8.069433213
1.100	-8.064958816
1.101	-8.055666238
1.102	-8.041553216
1.103	-8.022620203
1.104	-7.998870364
1.105	-7.970309585
1.106	-7.936946466
1.107	-7.898792325
1.108	-7.855861192
1.109	-7.808169807
1.110	-7.755737613
1.111	-7.698586746
1.112	-7.636742031
1.113	-7.57023097
1.114	-7.499083727
1.115	-7.423333118
1.116	-7.343014595
1.117	-7.258166229
1.118	-7.168828693
1.119	-7.075045243
1.120	-6.976861693
1.121	-6.874326399
1.122	-6.767490232
1.123	-6.656406549
1.124	-6.541131174
1.125	-6.421722362
1.126	-6.298240776
1.127	-6.17074945
1.128	-6.039313762
1.129	-5.904001394
1.130	-5.764882304
1.131	-5.622028684
1.132	-5.475514921
1.133	-5.325417566
1.134	-5.171815282
1.135	-5.014788812
1.136	-4.854420929
1.137	-4.690796397
1.138	-4.524001921
1.139	-4.354126102
1.140	-4.18125939
1.141	-4.005494033
1.142	-3.826924028
1.143	-3.645645069
1.144	-3.461754496
1.145	-3.275351238
1.146	-3.086535762
1.147	-2.895410017
1.148	-2.702077375
1.149	-2.506642576
1.150	-2.309211669
1.151	-2.109891954
1.152	-1.908791917
1.153	-1.706021178
1.154	-1.501690419
1.155	-1.29591133
1.156	-1.088796542
1.157	-0.880459564
1.158	-0.671014716
1.159	-0.46057707
1.160	-0.249262379
1.161	-0.037187012
1.162	0.17553211
1.163	0.388777586
1.164	0.602431597
1.165	0.816375977
1.166	1.030492283
